disasterNumber,totalAmountIhpApproved,totalObligatedAmountPa,totalObligatedAmountHmgp
2392,,,
2328,,1457745.93,
1392,,4938627.13,1792038.0
2395,,,
5041,,5721365.01,0.0
2397,,,
2326,,70842.0,
2683,,2018598.83,0.0
2664,,498799.41,0.0
2498,,458796.73,0.0
2343,,102666.28,
2580,,3012422.79,0.0
2896,,89674.22,0.0
5086,,912000.51,144710.56
5446,,2774175.81,519947.92
2413,,,
5165,,119555.16,0.0
2631,,262646.56,0.0
5088,,2135746.75,18415.07
5407,,32291.96,279292.25
2286,,25820.76,
1674,,124357843.32,17408694.0
3162,,3663238.24,
2426,,,0.0
1295,,38703382.74,9436261.0
1736,,24948123.75,2137722.0
2778,,595258.71,0.0
1496,,1492914.01,0.0
2435,,,
1684,,10083964.13,1223627.0
1851,,8931032.41,1308247.0
1279,,48334834.63,11742244.0
2441,,,
2446,,,
4552,,8847245.34,1814434.85
5256,,19615842.13,0.0
1403,,43824367.31,6709061.0
2468,,,0.0
2469,,,0.0
1804,,2543014.21,311362.0
1782,,1269313.62,206865.0
1286,,2083481.55,621569.0
1837,,2643437.02,195097.0
4132,,3283729.69,384030.0
1772,,6361368.91,779118.0
1568,,6016293.51,226946.0
1532,,1907631.53,122040.0
2500,,,0.0
2501,,,0.0
2502,,,0.0
2503,,,0.0
2504,,,0.0
2505,,,0.0
2506,,,0.0
2507,,,0.0
2512,,,0.0
3223,,2209668.18,
3148,,2032513.93,
1952,,80864515.33,10122435.51
1797,,5940451.74,1905215.0
4165,,46645842.62,8261053.08
2521,,,0.0
1581,,6186990.8,112353.0
1347,,5616578.93,1343739.0
3167,,1301755.4,
2470,,2312991.73,0.0
2458,,1313879.16,
2353,,3950133.61,
4041,,5570929.04,849612.04
1433,,3579584.09,624820.0
3252,,5854973.22,
4244,,4079526.97,130130.29
1302,,1875868.51,107462.0
2560,,213773.41,0.0
2472,,1749609.61,0.0
5436,,1472313.08,26525.22
4044,,3995523.23,877302.0
4551,,8718623.77,618242.37
2808,,189336.74,0.0
2455,,1123597.01,
5079,,5294854.84,0.0
5087,,1765492.94,351548.09
2491,,962614.44,0.0
2556,,,0.0
2557,,,0.0
2714,,1115187.66,0.0
2613,,86787.54,0.0
5124,,1930296.01,0.0
2924,,27127.61,0.0
2954,,45660.78,0.0
3232,,1816226.9,
2518,,283185.83,0.0
2577,,,0.0
2721,,4683929.84,0.0
5342,,15019.15,0.0
2910,,55445.93,0.0
2675,,3584.55,0.0
2690,,1079834.92,0.0
5104,,25623646.64,21540.47
2313,,1829514.81,
2331,,35147.55,
2418,,68955.63,
5344,,2880445.9,0.0
2591,,,0.0
2593,,,0.0
5317,,4453336.64,2037437.37
2596,,,0.0
2597,,,0.0
2598,,,0.0
2599,,,0.0
2935,,3173061.92,0.0
2601,,,0.0
2602,,,0.0
2603,,,0.0
2604,,,0.0
2605,,,0.0
2606,,,0.0
2607,,,0.0
2608,,,0.0
2609,,,0.0
2610,,,0.0
2611,,,0.0
2612,,,0.0
2638,,1882678.75,0.0
2614,,,0.0
2615,,,0.0
2616,,,0.0
2617,,,0.0
2618,,,0.0
2619,,,0.0
2620,,,0.0
2621,,,0.0
2622,,,0.0
2623,,,0.0
2624,,,0.0
2625,,,0.0
2626,,,0.0
2627,,,0.0
2628,,,0.0
2629,,,0.0
2630,,,0.0
2705,,83718.03,0.0
2632,,,0.0
2741,,58525.77,0.0
2637,,,0.0
5375,,1683429.35,0.0
5272,,665424.5,0.0
1616,,1990803.15,111586.0
1480,,3891329.31,245527.0
1737,,28052065.58,4620556.0
1910,,59386940.85,5042587.0
3191,,35683865.83,
4099,,12666844.02,1641227.0
4356,,5126898.02,76252.74
4211,,34509703.44,3599442.14
1953,,1600455.83,193119.0
1812,,14898663.36,2232817.0
1489,,973986.52,59829.0
2695,,,0.0
3179,,19129047.38,
1531,,1058536.53,78492.0
1438,,2745985.95,716877.0
1613,,11822936.68,622180.0
1562,,1681016.32,101251.0
2555,,2018946.0,0.0
2396,,2272904.0,
4082,,6640827.34,960197.0
2709,,,0.0
5147,,4430611.64,0.0
2307,,263418.75,
2465,,6525247.5,
5199,,3202093.02,0.0
4352,,14430450.53,0.0
2798,,111281.33,0.0
2691,,1216511.92,0.0
4405,,1648424.91,6957.72
2730,,,0.0
3231,,2008550.19,
2732,,,0.0
2733,,,0.0
2734,,,0.0
2735,,,0.0
2736,,,0.0
2737,,,0.0
2738,,,0.0
2739,,,0.0
5345,,1016846.58,0.0
3389,,585571.92,
5107,,2423995.63,14435.4
2942,,24833.31,0.0
5064,,40562.99,0.0
2487,,2760052.0,0.0
2970,,2987859.48,0.0
2516,,4692754.0,0.0
5102,,5569206.78,134573.0
3226,,1929990.02,
5189,,10485728.34,13715937.78
5034,,2493847.84,0.0
2760,,,0.0
2875,,904314.17,0.0
2873,,1274396.82,0.0
5537,,30441.02,0.0
2775,,,0.0
2330,,717000.55,
1704,,592556.62,31532.0
2762,,2175243.15,0.0
2582,,176293.0,0.0
2780,,,0.0
