disasterNumber,year,month,quarter,incident_duration_days,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,num_counties,tier_very_high,tier_high,tier_medium,tier_low,total_cost,log_total_cost,duration_x_counties
180,1964,11,4,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
181,1964,12,4,0.0,0,0,0,0,1,False,False,False,True,0.0,0.0,0.0
182,1964,12,4,0.0,0,0,0,0,1,False,False,False,True,0.0,0.0,0.0
183,1964,12,4,0.0,0,0,0,0,31,False,False,True,False,0.0,0.0,0.0
184,1964,12,4,0.0,0,0,0,0,36,False,False,True,False,0.0,0.0,0.0
185,1964,12,4,0.0,0,0,0,0,21,False,False,True,False,0.0,0.0,0.0
186,1964,12,4,0.0,0,0,0,0,27,False,False,True,False,0.0,0.0,0.0
187,1965,1,1,0.0,0,0,0,0,4,False,False,True,False,0.0,0.0,0.0
188,1965,4,2,0.0,0,0,0,0,65,False,False,True,False,0.0,0.0,0.0
189,1965,4,2,0.0,0,0,0,0,17,False,False,False,True,0.0,0.0,0.0
190,1965,4,2,0.0,0,0,0,0,16,False,False,False,True,0.0,0.0,0.0
191,1965,4,2,0.0,0,0,0,0,15,False,False,False,True,0.0,0.0,0.0
192,1965,4,2,0.0,0,0,0,0,20,False,False,False,True,0.0,0.0,0.0
193,1965,4,2,0.0,0,0,0,0,68,False,False,True,False,0.0,0.0,0.0
194,1965,4,2,0.0,0,0,0,0,10,False,False,False,True,0.0,0.0,0.0
195,1965,5,2,0.0,0,0,0,0,10,False,False,True,False,0.0,0.0,0.0
196,1965,5,2,0.0,0,0,0,0,6,False,True,False,False,0.0,0.0,0.0
197,1965,5,2,0.0,0,0,0,0,4,False,False,True,False,0.0,0.0,0.0
198,1965,6,2,0.0,0,0,0,0,6,False,False,True,False,0.0,0.0,0.0
199,1965,6,2,0.0,0,0,0,0,7,False,False,False,True,0.0,0.0,0.0
200,1965,6,2,0.0,0,0,0,0,27,False,False,False,True,0.0,0.0,0.0
201,1965,6,2,0.0,0,0,0,0,21,False,False,True,False,0.0,0.0,0.0
202,1965,7,3,0.0,0,0,0,0,4,False,False,True,False,0.0,0.0,0.0
203,1965,7,3,0.0,0,0,0,0,18,False,False,True,False,0.0,0.0,0.0
204,1965,8,3,0.0,0,0,0,0,14,False,False,False,True,0.0,0.0,0.0
205,1965,8,3,0.0,0,0,0,0,21,False,False,False,True,0.0,0.0,0.0
206,1965,8,3,0.0,0,0,0,0,13,False,False,False,True,0.0,0.0,0.0
207,1965,8,3,0.0,0,0,0,0,3,False,False,False,True,0.0,0.0,0.0
208,1965,9,3,0.0,0,0,0,0,35,True,False,False,False,0.0,0.0,0.0
209,1965,9,3,0.0,0,0,0,0,10,True,False,False,False,0.0,0.0,0.0
210,1965,9,3,0.0,0,0,0,0,11,True,False,False,False,0.0,0.0,0.0
211,1965,12,4,0.0,0,0,0,0,4,False,False,True,False,0.0,0.0,0.0
212,1966,1,1,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
213,1966,2,1,0.0,0,0,0,0,5,False,False,False,True,0.0,0.0,0.0
214,1966,3,1,0.0,0,0,0,0,23,False,False,True,False,0.0,0.0,0.0
